,name,notes,physicalAddress,postalAddress,dn,aliases,region,ntgGeographicDefinition,enrolment,enrolmentDataSource,description,religion,hasImage,preSchool,faftSchool,primarySchool,middleSchool,seniorSchool,telephoneNumber,businessCategories,ntgGazettedRegion,directorate,schoolElectorate,facsimileTelephoneNumber,councilMail,remoteDefinition,long,lat,uri,mail,preSchoolInfo,schoolManagement
13,Amanbidji School,,"{'description': 'N/A', 'state': 'NT', 'postCode': 'Amanbidgi (Kildirk)', 'displayAddress': 'N/A, Amanbidgi (Kildirk), NT'}","{'description': 'PMB 16', 'state': 'NT', 'postCode': 'via Katherine, 0851', 'displayAddress': 'PMB 16, via Katherine, 0851, NT'}","ou=Amanbidji School,ou=Government,ou=NTSchools,ou=DEET,dc=nt,dc=gov,c=au",[],Big Rivers,Very Remote,20,2021 Census - 1st week August,N/A,Government,False,True,False,True,True,False,(08) 9168 7380,['Small School'],,North,Gwoja,(08) 9168 7359,n/a,Remote Category 3,129.617986,-16.427522,n/a,Carolyn.tucker@education.nt.gov.au,,"[{'firstName': 'Nitha', 'lastName': 'Jose', 'position': 'Administration Manager', 'email': 'nitha.jose1@education.nt.gov.au', 'phone': '(08) 897 25347'}, {'firstName': 'Carolyn', 'lastName': 'Tucker', 'position': 'Principal', 'email': 'carolyn.tucker@education.nt.gov.au', 'phone': '(08) 9168 7380'}]"
14,Amoonguna School,,"{'description': 'N/A', 'state': 'NT', 'postCode': 'Amoonguna', 'displayAddress': 'N/A, Amoonguna, NT'}","{'description': 'PO Box  2529,', 'state': 'NT', 'postCode': 'Alice Springs, 0871', 'displayAddress': 'PO Box  2529,, Alice Springs, 0871, NT'}","ou=Amoonguna School,ou=Government,ou=NTSchools,ou=DEET,dc=nt,dc=gov,c=au",[],Central,Remote,25,2021 Census - 1st week August,not available,Government,True,False,False,True,False,False,(08) 8952 3402,['Primary School'],,Central Australia,Namatjira,(08) 8952 3402,tba,Urban,133.938539,-23.767906,n/a,cherie.gibbens@education.nt.gov.au,,"[{'firstName': 'Cherie', 'lastName': 'Gibbens', 'position': 'Principal', 'email': 'cherie.gibbens@education.nt.gov.au', 'phone': '(08) 8952 3402'}, {'firstName': 'Stephen', 'lastName': 'Go', 'position': 'Administration Manager', 'email': 'finance.amoonguna@education.nt.gov.au', 'phone': '(08) 895 11620'}]"
15,Ampilatwatja School,,"{'description': 'N/A', 'state': 'NT', 'postCode': 'Ampilatwatja (Ammaroo)', 'displayAddress': 'N/A, Ampilatwatja (Ammaroo), NT'}","{'description': None, 'state': 'NT', 'postCode': 'PMB 84, Alice Springs, 0872', 'displayAddress': ', PMB 84, Alice Springs, 0872, NT'}","ou=Ampilatwatja School,ou=Government,ou=NTSchools,ou=DEET,dc=nt,dc=gov,c=au","['Aharreng', 'Aherre', 'Ammaro', 'Ammaroo', 'Amperlatwatye', 'Honeymoon Bore', 'Irrultja']",Barkly,Very Remote,81,2021 Census - 1st week August,not available,Government,True,True,True,True,True,True,(08) 8956 9265,['Small School'],,Central Australia,Barkly,(08) 8956 9799,tba,Remote Category 3,135.22478,-21.65369,n/a,admin.ampilat@education.nt.gov.au,,"[{'firstName': 'Ann', 'lastName': 'Adams', 'position': 'Principal', 'email': 'ann.adams@education.nt.gov.au', 'phone': '(08) 8956 9265'}]"
16,Angurugu Pre School,,"{'description': 'N/A', 'state': 'NT', 'postCode': 'Angurugu', 'displayAddress': 'N/A, Angurugu, NT'}","{'description': None, 'state': None, 'postCode': ', ', 'displayAddress': ', , , '}","ou=Angurugu Pre School,ou=Angurugu School,ou=Government,ou=NTSchools,ou=DEET,dc=nt,dc=gov,c=au",[],East Arnhem,,,2021 Census - 1st week August,,,False,False,False,False,False,False,(08) 89876255,['Preschool'],,,Arnhem,(08) 8987 6106,,,,,,,,[]
17,Angurugu School,,"{'description': 'N/A', 'state': 'NT', 'postCode': 'Angurugu', 'displayAddress': 'N/A, Angurugu, NT'}","{'description': 'PO Box 40', 'state': 'NT', 'postCode': 'Alyangula, Groote Eylandt, 0885', 'displayAddress': 'PO Box 40, Alyangula, Groote Eylandt, 0885, NT'}","ou=Angurugu School,ou=Government,ou=NTSchools,ou=DEET,dc=nt,dc=gov,c=au",[],East Arnhem,Very Remote,66,2021 Census - 1st week August,N/A,Government,True,True,True,True,True,True,(08) 8987 6355,['Remote School'],,North,Arnhem,(08) 8987 6106,n/a,Remote Category 3,136.45933,-13.98253,n/a,admin.angurcec@education.nt.gov.au,,"[{'firstName': 'Alessa', 'lastName': 'Fremmer', 'position': 'Principal', 'email': 'alessa.fremmer@education.nt.gov.au', 'phone': '(08) 8987 6355'}, {'firstName': 'Kaye', 'lastName': 'Hood', 'position': 'Administration Manager', 'email': 'admin.angurcec@education.nt.gov.au', 'phone': '(08) 8987 6355'}]"
18,Anula Pre School,,"{'description': '73 Yanyula Dr', 'state': 'NT', 'postCode': 'Anula', 'displayAddress': '73 Yanyula Dr, Anula, NT'}","{'description': None, 'state': None, 'postCode': ', ', 'displayAddress': ', , , '}","ou=Anula Pre School,ou=Anula Primary School,ou=Government,ou=NTSchools,ou=DEET,dc=nt,dc=gov,c=au",[],Darwin,,,2021 Census - 1st week August,,,False,True,False,False,False,False,(08) 899 77500,['Preschool'],,,Sanderson,,,,,,,,,[]
19,Anula Primary School,,"{'description': '73 Yanyula Dr', 'state': 'NT', 'postCode': 'Anula, 0812', 'displayAddress': '73 Yanyula Dr, Anula, 0812, NT'}","{'description': 'Yanyula Drive', 'state': 'NT', 'postCode': 'ANULA, 0812', 'displayAddress': 'Yanyula Drive, ANULA, 0812, NT'}","ou=Anula Primary School,ou=Government,ou=NTSchools,ou=DEET,dc=nt,dc=gov,c=au",[],Darwin,Outer Regional,438,2021 Census - 1st week August,not available,Government,True,True,False,True,False,False,(08) 899 77500,['Primary School'],,North ,Sanderson,,tba,Urban,130.89369,-12.39162,http://www.anulaprimaryschool.com/,anula.admin@education.nt.gov.au,,"[{'firstName': 'Melinda', 'lastName': 'Kealy', 'position': 'Principal', 'email': 'melinda.kealy@education.nt.gov.au', 'phone': '(08) 899 77500'}, {'firstName': 'Kylie', 'lastName': 'Robinson', 'position': 'Business Manager', 'email': 'kylie.robinson1@education.nt.gov.au', 'phone': '(08) 899 77500'}]"
20,Araluen Christian School,,"{'description': '10 Blain St', 'state': 'NT', 'postCode': 'Alice Springs', 'displayAddress': '10 Blain St, Alice Springs, NT'}","{'description': '10 Blain Street', 'state': 'NT', 'postCode': 'Alice Springs, 0870', 'displayAddress': '10 Blain Street, Alice Springs, 0870, NT'}","ou=Araluen Christian School,ou=Non-Government,ou=NTSchools,ou=DEET,dc=nt,dc=gov,c=au",[],Central,Remote,199,2018 Census,not available,Christian,False,False,False,True,True,False,(08) 8955 3300,['Primary School'],,Alice Springs,Namatjira,,,,133.85232,-23.70771,http://www.acc.nt.edu.au,admin.acc@ntschools.net,,"[{'firstName': 'Damien', 'lastName': 'Gainsford', 'position': 'Principal', 'email': 'damien.gainsford@ntschools.net', 'phone': '89550121'}]"
21,Areyonga School,,"{'description': 'wsw of Hermannsburg, 224km from Alice Springs', 'state': 'NT', 'postCode': 'Areyonga', 'displayAddress': 'wsw of Hermannsburg, 224km from Alice Springs, Areyonga, NT'}","{'description': 'Areyonga', 'state': 'NT', 'postCode': 'via Alice Springs, 0872', 'displayAddress': 'Areyonga, via Alice Springs, 0872, NT'}","ou=Areyonga School,ou=Government,ou=NTSchools,ou=DEET,dc=nt,dc=gov,c=au",['UTJU'],Central,Very Remote,37,2021 Census - 1st week August,not available,Government,True,False,False,True,True,False,(08) 8956 7303,['Small School'],,Central Australia,Gwoja,(08) 8956 7213,tba,Remote Category 2,132.27011,-24.0737,n/a,areyonga.school@education.nt.gov.au,,"[{'firstName': 'Toby', 'lastName': 'Brown', 'position': 'Principal', 'email': 'toby.brown@education.nt.gov.au', 'phone': '(08) 8956 7303'}, {'firstName': 'Therese', 'lastName': 'Townsend', 'position': 'Administration Manager', 'email': 'therese.townsend@education.nt.gov.au', 'phone': '(08) 895 11656'}]"
22,Arlparra School,,"{'description': None, 'state': 'NT', 'postCode': 'Arlparra Community, Utopia', 'displayAddress': ', Arlparra Community, Utopia, NT'}","{'description': 'PMB 18', 'state': 'NT', 'postCode': 'via ALICE SPRINGS, 0872', 'displayAddress': 'PMB 18, via ALICE SPRINGS, 0872, NT'}","ou=Arlparra School,ou=Government,ou=NTSchools,ou=DEET,dc=nt,dc=gov,c=au",['Utopia'],Barkly,Very Remote,169,2021 Census - 1st week August,N/A,Government,False,True,True,True,True,True,(08) 8956 9178,['Remote School'],,Central Australia,Barkly,(08) 8956 9182,n/a,Remote Category 3,134.771859,-22.084073,n/a,john.matthews@education.nt.gov.au,,"[{'firstName': 'John', 'lastName': 'Matthews', 'position': 'Principal', 'email': 'john.matthews@education.nt.gov.au', 'phone': '(08) 8956 9178'}]"
23,Australian International Islamic College,,"{'description': '25 Bowerlee Road', 'state': 'NT', 'postCode': 'Berrimah NT 0828', 'displayAddress': '25 Bowerlee Road, Berrimah NT 0828, NT'}","{'description': '25 Bowerlee Road', 'state': 'NT', 'postCode': 'Berrimah, 0828', 'displayAddress': '25 Bowerlee Road, Berrimah, 0828, NT'}","ou=Australian International Islamic College,ou=Non-Government,ou=NTSchools,ou=DEET,dc=nt,dc=gov,c=au",[],n/a,n/a,,2018 Census,n/a,Independent,False,False,False,True,False,False,(03) 33721400,['College'],,n/a,n/a,n/a,n/a,,130.91780,-12.41755,https://aiic.qld.edu.au/darwin-campus/,nt.admin@aiic.nt.edu.au,,"[{'firstName': 'Administration', 'lastName': 'Manager', 'position': 'Adminstration Manager', 'email': 'nt.admin@aiic.nt.edu.au', 'phone': '(03) 33721400'}, {'firstName': 'Andrew', 'lastName': 'Taylor', 'position': 'Principal', 'email': 'andrew.taylor@aiic.nt.edu.au', 'phone': '(03) 33721400'}]"
24,Bakewell Pre School,,"{'description': '5 Hutchison Tce', 'state': 'NT', 'postCode': 'Bakewell, 0832', 'displayAddress': '5 Hutchison Tce, Bakewell, 0832, NT'}","{'description': 'tba', 'state': None, 'postCode': 'tba, 0832', 'displayAddress': 'tba, tba, 0832, '}","ou=Bakewell Pre School,ou=Bakewell Primary School,ou=Government,ou=NTSchools,ou=DEET,dc=nt,dc=gov,c=au",[],Top End,,,2021 Census - 1st week August,,,False,True,False,False,False,False,(08) 899 77400,['Preschool'],,,Brennan,,,,,,,,,[]
25,Bakewell Primary School,,"{'description': '1 Forrest Parade', 'state': 'NT', 'postCode': 'Bakewell, 0832', 'displayAddress': '1 Forrest Parade, Bakewell, 0832, NT'}","{'description': 'PO Box 1300', 'state': 'NT', 'postCode': 'PALMERSTON, 0831', 'displayAddress': 'PO Box 1300, PALMERSTON, 0831, NT'}","ou=Bakewell Primary School,ou=Government,ou=NTSchools,ou=DEET,dc=nt,dc=gov,c=au",[],Top End,Outer Regional,885,2021 Census - 1st week August,not available,Government,True,True,False,True,False,False,(08) 899 77400,['Primary School'],,North ,Brennan,,tba,Urban,130.99373,-12.49362,http://www.bakewellprimary.nt.edu.au,admin.bakewell@education.nt.gov.au,,"[{'firstName': 'Leonie', 'lastName': 'Commons', 'position': 'Business Manager', 'email': 'leonie.commons@education.nt.gov.au', 'phone': '(08) 899 77400'}, {'firstName': 'Jackie', 'lastName': 'Roberts', 'position': 'Principal', 'email': 'jackie.roberts@education.nt.gov.au', 'phone': '(08) 899 77400'}]"
26,Baniyala Garrangali School,,"{'description': 'Yilpara Community', 'state': 'NT', 'postCode': 'Yirrkala, 0880', 'displayAddress': 'Yilpara Community, Yirrkala, 0880, NT'}","{'description': 'PO Box 1496', 'state': 'NT', 'postCode': 'NHULUNBUY, 0881', 'displayAddress': 'PO Box 1496, NHULUNBUY, 0881, NT'}","ou=Baniyala Garrangali School,ou=Government,ou=NTSchools,ou=DEET,dc=nt,dc=gov,c=au",[],East Arnhem,Very Remote,32,2021 Census - 1st week August,n/a,Government,False,True,False,True,True,True,(08) 8987 9114,['Small School'],,North ,Mulka,(08) 8987 9417,n/a,Remote Category 3,136.2261,-13.2004,n/a,kirsten.morey@education.nt.gov.au,,"[{'firstName': 'Christine', 'lastName': 'Boog', 'position': 'Business Manager', 'email': 'Christine.boog1@education.nt.gov.au', 'phone': '(08) 899 93548'}, {'firstName': 'Kirsten', 'lastName': 'Morey', 'position': 'Principal', 'email': 'kirsten.morey@education.nt.gov.au', 'phone': '(08) 8987 9114'}]"
27,Barunga School,,"{'description': 'N/A', 'state': 'NT', 'postCode': 'Barunga  (Bamyili)', 'displayAddress': 'N/A, Barunga  (Bamyili), NT'}","{'description': 'PMB 117', 'state': 'NT', 'postCode': 'via Katherine, 0851', 'displayAddress': 'PMB 117, via Katherine, 0851, NT'}","ou=Barunga School,ou=Government,ou=NTSchools,ou=DEET,dc=nt,dc=gov,c=au",[],Big Rivers,Very Remote,96,2021 Census - 1st week August,not available,Government,True,True,True,True,True,True,(08) 8975 4502,['Small School'],,North,Arnhem,(08) 8975 4616,n/a,Remote Category 2,132.86603,-14.52456,n/a,office.barunga@education.nt.gov.au,,"[{'firstName': 'Malcolm', 'lastName': 'Hales', 'position': 'Principal', 'email': 'malcolm.hales@education.nt.gov.au', 'phone': '(08) 8975 4502'}, {'firstName': 'Katrin', 'lastName': 'Woolgar', 'position': 'Administration Manager', 'email': 'katrin.woolgar@education.nt.gov.au', 'phone': '(08) 8972 5351'}]"
28,Batchelor Area School,Batchelor Outdoor Education Unit : (08) 8976 0117,"{'description': '71 Kirra Cres', 'state': 'NT', 'postCode': 'Batchelor, 0845', 'displayAddress': '71 Kirra Cres, Batchelor, 0845, NT'}","{'description': 'c/-', 'state': 'NT', 'postCode': 'Batchelor Post Office, 0845', 'displayAddress': 'c/-, Batchelor Post Office, 0845, NT'}","ou=Batchelor Area School,ou=Government,ou=NTSchools,ou=DEET,dc=nt,dc=gov,c=au",[],Top End,Remote,98,2021 Census - 1st week August,Batchelor Outdoor Education Unit : (08) 8976 0117,Government,True,True,False,True,True,False,(08) 8976 0077,['Remote School'],,North ,Daly,(08) 8976 0008,tba,Remote Special Category,131.033019,-13.046103,https://www.batchelorschool.com.au/,batchelor.as@education.nt.gov.au,,"[{'firstName': 'Carolyn', 'lastName': 'Bilston', 'position': 'Business Manager', 'email': 'carolyn.bilston@ducation.nt.gov.au', 'phone': '(08) 8976 0077'}, {'firstName': 'Tim', 'lastName': 'East', 'position': 'Principal', 'email': 'tim.east@education.nt.gov.au', 'phone': '(08) 8976 0077'}]"
29,Batchelor Pre School,,"{'description': '71 Kirra Cres', 'state': 'NT', 'postCode': 'Batchelor', 'displayAddress': '71 Kirra Cres, Batchelor, NT'}","{'description': None, 'state': None, 'postCode': ', ', 'displayAddress': ', , , '}","ou=Batchelor Pre School,ou=Batchelor Area School,ou=Government,ou=NTSchools,ou=DEET,dc=nt,dc=gov,c=au",[],Top End,,,2021 Census - 1st week August,,,False,True,False,False,False,False,(08) 8976 0077,['Preschool'],,,Daly,(08) 8976 0008,,,,,,,,[]
30,Bees Creek Pre School,,"{'description': '20 Sattler Cres', 'state': 'NT', 'postCode': 'Freds Pass', 'displayAddress': '20 Sattler Cres, Freds Pass, NT'}","{'description': None, 'state': None, 'postCode': ', ', 'displayAddress': ', , , '}","ou=Bees Creek Pre School,ou=Bees Creek Primary School,ou=Government,ou=NTSchools,ou=DEET,dc=nt,dc=gov,c=au",[],Top End,,,2021 Census - 1st week August,,,False,True,False,False,False,False,(08) 8983 3222,['Preschool'],,,Goyder,(08) 8983 3120,,,,,,,,[]
